Campaign,Sitelink text,Final URL,Description line 1,Description line 2
OPT | International students,Become a Fellow,https://www.humanitarians.ai/fellows,Real AI projects for students,and early-career researchers
"LT | Extending Claude — Skills, Plugins & Connectors",OPT Volunteer Work,https://www.humanitarians.ai/opt-volunteer-opportunities,Documented hours that keep,your OPT status active
"LT | Extending Claude — Skills, Plugins & Connectors",80 Days to Stay,https://www.humanitarians.ai/80-days-to-stay,Free sponsor database and,job tools for OPT students
"LT | Extending Claude — Skills, Plugins & Connectors",All Video Articles,https://www.humanitarians.ai/videos/library,"Every video, with a full",article and transcript
LT | Causal Couture,Become a Fellow,https://www.humanitarians.ai/fellows,Real AI projects for students,and early-career researchers
LT | Causal Couture,OPT Volunteer Work,https://www.humanitarians.ai/opt-volunteer-opportunities,Documented hours that keep,your OPT status active
LT | Causal Couture,80 Days to Stay,https://www.humanitarians.ai/80-days-to-stay,Free sponsor database and,job tools for OPT students
LT | Causal Couture,All Video Articles,https://www.humanitarians.ai/videos/library,"Every video, with a full",article and transcript
LT | Claude Code,Become a Fellow,https://www.humanitarians.ai/fellows,Real AI projects for students,and early-career researchers
LT | Claude Code,OPT Volunteer Work,https://www.humanitarians.ai/opt-volunteer-opportunities,Documented hours that keep,your OPT status active
LT | Claude Code,80 Days to Stay,https://www.humanitarians.ai/80-days-to-stay,Free sponsor database and,job tools for OPT students
LT | Claude Code,All Video Articles,https://www.humanitarians.ai/videos/library,"Every video, with a full",article and transcript
LT | Lyrical Literacy (Songs for Pre-School Kids),Become a Fellow,https://www.humanitarians.ai/fellows,Real AI projects for students,and early-career researchers
LT | Lyrical Literacy (Songs for Pre-School Kids),OPT Volunteer Work,https://www.humanitarians.ai/opt-volunteer-opportunities,Documented hours that keep,your OPT status active
LT | Lyrical Literacy (Songs for Pre-School Kids),80 Days to Stay,https://www.humanitarians.ai/80-days-to-stay,Free sponsor database and,job tools for OPT students
LT | Lyrical Literacy (Songs for Pre-School Kids),All Video Articles,https://www.humanitarians.ai/videos/library,"Every video, with a full",article and transcript
LT | React,Become a Fellow,https://www.humanitarians.ai/fellows,Real AI projects for students,and early-career researchers
LT | React,OPT Volunteer Work,https://www.humanitarians.ai/opt-volunteer-opportunities,Documented hours that keep,your OPT status active
LT | React,80 Days to Stay,https://www.humanitarians.ai/80-days-to-stay,Free sponsor database and,job tools for OPT students
LT | React,All Video Articles,https://www.humanitarians.ai/videos/library,"Every video, with a full",article and transcript
LT | AI+1,Become a Fellow,https://www.humanitarians.ai/fellows,Real AI projects for students,and early-career researchers
LT | AI+1,OPT Volunteer Work,https://www.humanitarians.ai/opt-volunteer-opportunities,Documented hours that keep,your OPT status active
LT | AI+1,80 Days to Stay,https://www.humanitarians.ai/80-days-to-stay,Free sponsor database and,job tools for OPT students
LT | AI+1,All Video Articles,https://www.humanitarians.ai/videos/library,"Every video, with a full",article and transcript
LT | RAMAN Effect,Become a Fellow,https://www.humanitarians.ai/fellows,Real AI projects for students,and early-career researchers
LT | RAMAN Effect,OPT Volunteer Work,https://www.humanitarians.ai/opt-volunteer-opportunities,Documented hours that keep,your OPT status active
LT | RAMAN Effect,80 Days to Stay,https://www.humanitarians.ai/80-days-to-stay,Free sponsor database and,job tools for OPT students
LT | RAMAN Effect,All Video Articles,https://www.humanitarians.ai/videos/library,"Every video, with a full",article and transcript
LT | NeuroVEP,Become a Fellow,https://www.humanitarians.ai/fellows,Real AI projects for students,and early-career researchers
LT | NeuroVEP,OPT Volunteer Work,https://www.humanitarians.ai/opt-volunteer-opportunities,Documented hours that keep,your OPT status active
LT | NeuroVEP,80 Days to Stay,https://www.humanitarians.ai/80-days-to-stay,Free sponsor database and,job tools for OPT students
LT | NeuroVEP,All Video Articles,https://www.humanitarians.ai/videos/library,"Every video, with a full",article and transcript
LT | Popper (Computational Skepticism),Become a Fellow,https://www.humanitarians.ai/fellows,Real AI projects for students,and early-career researchers
LT | Popper (Computational Skepticism),OPT Volunteer Work,https://www.humanitarians.ai/opt-volunteer-opportunities,Documented hours that keep,your OPT status active
LT | Popper (Computational Skepticism),80 Days to Stay,https://www.humanitarians.ai/80-days-to-stay,Free sponsor database and,job tools for OPT students
LT | Popper (Computational Skepticism),All Video Articles,https://www.humanitarians.ai/videos/library,"Every video, with a full",article and transcript
LT | More Videos,Become a Fellow,https://www.humanitarians.ai/fellows,Real AI projects for students,and early-career researchers
LT | More Videos,OPT Volunteer Work,https://www.humanitarians.ai/opt-volunteer-opportunities,Documented hours that keep,your OPT status active
LT | More Videos,80 Days to Stay,https://www.humanitarians.ai/80-days-to-stay,Free sponsor database and,job tools for OPT students
LT | More Videos,All Video Articles,https://www.humanitarians.ai/videos/library,"Every video, with a full",article and transcript
